element label,point1,point2,F,sigma,sigma_y,sigma_b,sigma_lim,percent_allowed
A0000A0100,A0000,A0100,1626744.9591727883,128496557.55427714,376000000.0,-71360555.23508514,376000000.0,34.17461637081839
A0100B0100,A0100,B0100,168825.47777981078,120019695.40372258,376000000.0,-15295043.560333427,376000000.0,31.9201317563092
B0100B0000,B0100,B0000,-9713031.536325833,-200625672.44976392,376000000.0,-272896859.1311279,-272896859.1311279,73.51703243801812
A0000B0000,A0000,B0000,0.0,0.0,376000000.0,-15295043.560333427,-15295043.560333427,0.0
A0001A0101,A0001,A0101,1414178.7257060572,148720945.03518102,376000000.0,-53599705.932131305,376000000.0,39.55344282850559
A0101B0101,A0101,B0101,-99101.36058355319,-17613033.393640272,376000000.0,-61180174.24133129,-61180174.24133129,28.7887924675793
B0101B0001,B0101,B0001,-8385468.200584626,-173204440.8850735,376000000.0,-272896859.1311279,-272896859.1311279,63.4688290061441
A0001B0001,A0001,B0001,240464.57199526858,170948633.26197544,376000000.0,-15295043.560333427,376000000.0,45.46506203775942
A0000A0001,A0000,A0001,-2006150.0615851001,-92184189.80434452,376000000.0,-122669675.44362582,-122669675.44362582,75.14831148852983
A0100A0101,A0100,A0101,-474671.56762404356,-37494299.315116726,376000000.0,-71360555.23508514,-71360555.23508514,52.54205098544731
B0000B0001,B0000,B0001,-5997774.48207977,-213716265.97532588,376000000.0,-158191374.04953867,-158191374.04953867,135.09982276808546
B0100B0101,B0100,B0101,-3551474.088668143,-163193057.06190205,376000000.0,-122669675.44362582,-122669675.44362582,133.0345551756996
B0001A0000,B0001,A0000,-82525.81109323504,-24953483.424981944,376000000.0,-12277294.396753745,-12277294.396753745,203.24904346661205
B0101A0100,B0101,A0100,861697.2211381033,153147260.9633497,376000000.0,-20887646.421697937,376000000.0,40.730654511529174
B0001B0100,B0001,B0100,5544895.857944972,340996634.3527424,376000000.0,-45829334.362091064,376000000.0,90.69059424275063
A0000B0100,A0000,B0100,126898.86431090342,38370646.28972471,376000000.0,-12277294.396753745,376000000.0,10.204959119607635
A0100B0000,A0100,B0000,-1260021.8921337856,-44897849.13363737,376000000.0,-104182938.65222512,-104182938.65222512,43.095203220857165
A0001B0101,A0001,B0101,79418.75246820306,56459573.55446766,376000000.0,-5221911.60542469,376000000.0,15.015844030443526
B0001A0101,B0001,A0101,-329013.85538385407,-20233494.048505817,376000000.0,-60365298.158707924,-60365298.158707924,33.51841979693271
A0002A0102,A0002,A0102,1749568.505775445,138198387.4791562,376000000.0,-71360555.23508514,376000000.0,36.75489028700962
A0102B0102,A0102,B0102,808780.0106363199,244552320.32883972,376000000.0,-35960346.85962748,376000000.0,65.04051072575524
B0102B0002,B0102,B0002,-4841395.360583701,-100000519.52674818,376000000.0,-272896859.1311279,-272896859.1311279,36.64407126015972
A0002B0002,A0002,B0002,351624.652589109,83201215.5043376,376000000.0,-45953108.65237282,376000000.0,22.1279828468983
A0001A0002,A0001,A0002,-595930.1425449965,-36648149.59978469,376000000.0,-91658668.72418213,-91658668.72418213,39.983288116550916
A0101A0102,A0101,A0102,193372.73156885794,20335884.609349243,376000000.0,-53599705.932131305,376000000.0,5.408479949295011
B0001B0002,B0001,B0002,-1892418.845337246,-116378823.62047924,376000000.0,-91658668.72418213,-91658668.72418213,126.9697948272461
B0101B0102,B0101,B0102,-6636673.059554443,-408138084.9317371,376000000.0,-91658668.72418213,-91658668.72418213,445.28039803840056
B0002A0001,B0002,A0001,-1171967.230043237,-53852825.69211973,376000000.0,-80788774.65992214,-80788774.65992214,66.65879748617496
