point label,mass,ux,uy,uz,Rx,Ry,Rz
A0000,7932.557583763724,0.0,0.0,0.0,25927.38469525872,-1729727.7454522797,2242909.731240121
B0000,20397.163473791414,0.0,0.0,0.0,736236.7462420254,10735582.572773088,6289839.405757664
A0100,13522.586061452257,-0.06373547045146039,0.029982530095997995,-0.3132725713338705,5.820766091346741e-10,4.656612873077393e-10,-3.434251993894577e-09
B0100,28276.312279097107,-0.08389877927928578,-0.046812656904944905,-0.2558115483304674,-9.313225746154785e-10,9.313225746154785e-10,-1.1641532182693481e-09
A0001,14031.232395946257,-0.028261568371239644,0.0,-0.02150964428768038,5.820766091346741e-11,-1478629.7706892393,-1.979060471057892e-09
B0001,25636.56517581413,-0.05698093875925152,0.0,-0.04986712872757603,4.656612873077393e-10,4731640.78091589,3.259629011154175e-09
A0101,12095.66843719207,-0.11513391916615083,0.03470155384154223,-0.3220212411740644,-2.9103830456733704e-10,1.862645149230957e-09,1.1641532182693481e-09
B0101,41081.56810237016,-0.11217492955601926,-0.040414369539850475,-0.29388992831157784,2.7939677238464355e-09,-1.3969838619232178e-09,4.540197551250458e-09
A0002,13742.011251291598,-0.06488493938983601,0.0,-0.030060879194296806,-7.566995918750763e-10,-1779255.1992480918,2.3283064365386963e-09
B0002,28649.83606136078,-0.07886274359456473,0.0,-0.07702218757235452,-4.656612873077393e-10,-3169123.237103345,-4.656612873077393e-10
A0102,16800.214510539357,-0.06900448291796574,0.0322462904118031,-0.3172762014318829,-4.94765117764473e-09,8.731149137020111e-10,7.275957614183426e-09
B0102,38409.23633647865,-0.11008927273321081,-0.023333454556241237,-0.38912214812898316,9.313225746154785e-10,3.725290298461914e-09,-1.2456439435482025e-08
A0003,18805.8120300104,0.0,0.0,0.0,5586356.217629657,-11586156.115320923,-1819403.575615342
B0003,27256.006976627308,0.0,0.0,0.0,3712379.651432952,6380983.901471125,18113206.22344038
A0103,22631.452801713713,-0.15205898388397404,0.06188734917178311,-0.25448792789776903,6.402842700481415e-10,3.725290298461914e-09,1.6298145055770874e-09
B0103,51858.582910835634,-0.1663139516628826,-0.03664104260582537,-0.4297608184849364,0.0,3.725290298461914e-09,-4.540197551250458e-09
A0004,10878.944100473844,-0.5749523345938886,0.0,0.008000751629010722,1.7404090613126755e-08,-3732486.4618336204,-4.423782229423523e-09
B0004,35057.9308259913,-0.5637298610910153,0.0,-0.3582288043060378,-1.4901161193847656e-08,3796136.801244177,-8.498318493366241e-09
A0104,18664.68808195531,-0.644840250425564,0.04008630840405767,-0.19292503637395206,9.953510016202927e-09,0.0,-2.3283064365386963e-10
B0104,35803.457378185114,-0.6058631469680436,-0.024199289356954427,-0.4680251410738494,0.0,7.450580596923828e-09,-1.0943040251731873e-08
A0005,7492.676659625717,-1.1908394125484967,0.0,-0.003012739057640842,9.953510016202927e-09,-610829.1159706493,1.1059455573558807e-09
